,YearStart,YearEnd,LocationAbbr,LocationDesc,StratificationCategory1,Stratification1,StratificationCategoryID1,StratificationID1,LocationID,OverweightValue,ObeseValue,TvValue,SodaValue,VegetableValue,FruitValue,PhysicalActivityValue,PhysicalEducationValue
207,2005,2005,AR,Arkansas,Gender,Male,GEN,MALE,5,13.8,12.7,22.8,22.3,38.6,37.8,32.3,34.9
209,2001,2001,MI,Michigan,Gender,Male,GEN,MALE,26,12.5,17.8,26.9,32.9,42.4,43.2,32.3,22.6
210,2011,2011,GA,Georgia,Grade,11th,GRADE,GRADE11,13,12.8,10.3,34.5,18.8,38.2,42.3,13.2,13.5
212,2015,2015,MT,Montana,Gender,Female,GEN,FEMALE,30,14.8,11.0,31.4,18.0,37.8,39.6,21.6,18.2
213,2011,2011,ME,Maine,Total,Total,OVR,OVERALL,23,14.7,11.6,31.2,22.1,42.8,39.2,25.3,24.2
214,2005,2005,KY,Kentucky,Grade,10th,GRADE,GRADE10,21,14.5,13.9,20.9,28.3,28.5,29.9,29.3,27.3
215,2005,2005,VT,Vermont,Grade,9th,GRADE,GRADE09,50,12.9,12.2,28.3,30.7,36.0,38.3,27.8,20.1
216,2005,2005,KS,Kansas,Grade,9th,GRADE,GRADE09,20,14.2,12.9,27.6,27.6,42.2,42.1,33.3,28.6
218,2013,2013,WI,Wisconsin,Grade,12th,GRADE,GRADE12,55,14.7,14.2,24.1,35.3,40.6,48.0,31.4,27.5
225,2003,2003,WY,Wyoming,Grade,10th,GRADE,GRADE10,56,16.1,19.5,34.1,42.6,36.0,35.2,38.4,32.0
226,2013,2013,MD,Maryland,Total,Total,OVR,OVERALL,24,14.0,12.1,25.9,19.4,39.3,39.6,21.1,17.0
227,2013,2013,FL,Florida,Total,Total,OVR,OVERALL,12,17.6,18.1,30.7,29.4,51.7,52.4,29.6,27.4
230,2011,2011,IN,Indiana,Grade,9th,GRADE,GRADE09,18,14.7,12.3,39.2,29.7,40.6,42.3,23.7,29.8
